Project,Total run,Failure,Error,Skipped,Failed,Commit
jackson-dataformat-xml,201,0,0,0,,332b8661f0359f75e6f99444517422ac226b9ce9
jackson-dataformat-xml,131,0,0,0,,34f07390462b3d1abf7cce70f905a3272e5d3a1b
jackson-dataformat-xml,197,0,0,0,,3578d8541e9f052446961572fb4bb4b951e09977
jackson-dataformat-xml,207,0,0,0,,35f7fcfb765036ddfa66e23574f3f82654980a2d
jackson-dataformat-xml,157,0,0,0,,3624896c53ff6dc656d5589806a1c6c929059144
jackson-dataformat-xml,190,0,0,0,,3633a7db7303ecb87228960ab399280e05264549
jackson-dataformat-xml,143,0,0,0,,364143284e53e0a027478acd26ea766c8df60f92
jackson-dataformat-xml,139,0,0,0,,3673c0645333dccf06933cbda4810197872cb7a6
jackson-dataformat-xml,142,0,0,0,,37296145fd21d10eb0661650095b2cffb7bb6cb6
jackson-dataformat-xml,139,0,0,0,,372eddd33624ac32ff2c07ba4a136bd165435e1a
jackson-dataformat-xml,196,0,0,0,,3734729d7c0bbcf71b4dadacf8ba7115c2e69f55
jackson-dataformat-xml,142,0,0,0,,37368bce4e388414916e9e16f5262204fceac41d
jackson-dataformat-xml,141,0,0,0,,37eb331acce08142ad027f127c355f9b462fe9e0
jackson-dataformat-xml,142,0,0,0,,38394f0c65811f9edf9c0fff593f621408e3cd64
jackson-dataformat-xml,149,0,0,0,,38e7afea5efe2ca6ec71c470ad1cd2b9707c5f43
jackson-dataformat-xml,139,0,0,0,,3932476e5d5c38d3e6fbf8ad56310d0e3e370423
jackson-dataformat-xml,142,0,0,0,,39c8c7b5218cc6d510ab51b6974ddd34f6bab8b7
jackson-dataformat-xml,132,0,0,0,,3b75f464095e68a77318e350e62612e34c6aaef9
jackson-dataformat-xml,141,0,0,0,,3bb5950744128985ff771091f4238d279416720d
jackson-dataformat-xml,201,0,0,0,,3c6540a59c3471a26fc2a4c35d8da96bcd8959f5
jackson-dataformat-xml,150,0,0,0,,3cc587d2743109dc8268bebaa3a1da2d73b2397f
jackson-dataformat-xml,132,0,0,0,,3e50b0c791c7018179a5f4b7a7f9d3b1d2fae6cb
jackson-dataformat-xml,201,0,0,0,,3eadc655892480b715f1255b9669f1b8f1494a10
jackson-dataformat-xml,136,0,0,0,,3edad6c637cbc9fe364f4c93cb17d82d96b293d1
jackson-dataformat-xml,178,0,0,0,,3f4c8620ab3c2cc45c0c426bd9f17940d59f81c3
jackson-dataformat-xml,143,0,0,0,,3fb6af6fcb2d4c8aad6c5c524b0f458b2f6f3c72
jackson-dataformat-xml,166,0,0,0,,40e4ea80f77865bd8a548670fe24aafff94291f6
jackson-dataformat-xml,158,0,0,0,,41001739d6efb1929c79960480114a859b32fc92
jackson-dataformat-xml,158,0,0,0,,41317a30cf3667834978dd9b6a888ab7aee0b242
jackson-dataformat-xml,205,0,0,0,,426a52ce9e2990a1ae6078a50844de2213adf1c9
jackson-dataformat-xml,210,0,0,0,,426b2d93d5849a5005adb18b1c2ac8b5ad780b9b
jackson-dataformat-xml,143,0,0,0,,4289b809ddef4a8a92ceff5aaef5639ef5fd0e35
jackson-dataformat-xml,137,0,0,0,,4316c7653c9d81cd9f4fcbf6b04c9d5e474a030d
jackson-dataformat-xml,141,0,0,0,,4330471f9bd084092d1f5124839a17c74a4c14fd
jackson-dataformat-xml,200,0,0,0,,43d8393f8afb41f12b2a89d169e469763346993a
jackson-dataformat-xml,209,0,0,0,,43ddaac1661bd061f016b8db422c9355e5f2a2b7
jackson-dataformat-xml,139,0,0,0,,43ec2dd9edc7d2a3b4a00280248e6763257da2e6
jackson-dataformat-xml,139,0,0,0,,45c24611bbf24bf895da89d01b0115e44f7529d8
jackson-dataformat-xml,133,0,0,0,,45f912be6829e2748d7048524bf897b9a2222dac
jackson-dataformat-xml,133,0,0,0,,471b123b91833885f858e70e7aa541db11c24fbe
jackson-dataformat-xml,139,0,0,0,,472f756d9160dc94dc31a14022036afa2db28146
jackson-dataformat-xml,140,0,0,0,,476030bd2dbcee05d4dc7620f5aab14137f6b380
jackson-dataformat-xml,142,0,0,0,,477b14790d62a971d0892143fdbeecd28915896f
jackson-dataformat-xml,140,0,0,0,,48759e9822db9d7cbdf69faf519836e4c92ab5b1
jackson-dataformat-xml,201,0,0,0,,49357b7e0f38a5ebb58a9a1971d0fce687f32409
jackson-dataformat-xml,192,0,0,0,,4938036087bed3ebdfaf6c98db14d269179c30a8
jackson-dataformat-xml,131,0,0,0,,496cb5e721177c829878a8ee690497b2a75a4525
jackson-dataformat-xml,132,0,0,0,,49f9151f9411a8fac1be6c4256db9799a3b2324e
jackson-dataformat-xml,143,0,0,0,,4a3a3e83d1165fce73182ba7e128dd13073a8006
